 -> 1561602850805424
1 -> 1214
Psicologia -> 6605
1 -> 1072
Psicologia -> 2535
1 -> 965
Psicologia -> 2225
1 -> 1065
Psicologia -> 1983
1 -> 994
Psicologia -> 1923
1 -> 1067
Psicologia -> 1990
1 -> 1151
Psicologia -> 1887
1 -> 1607
Psicologia -> 2453
1 -> 1127
Psicologia -> 1965
1 -> 1209
Psicologia -> 3005
1 -> 1152
Psicologia -> 1947
1 -> 1211
Psicologia -> 2190
1 -> 964
Psicologia -> 2176
1 -> 983
Psicologia -> 2440
1 -> 1672
Psicologia -> 3318
1 -> 1049
Psicologia -> 2035
1 -> 1197
Psicologia -> 2413
1 -> 1204
Psicologia -> 2047
1 -> 1179
Psicologia -> 2068
1 -> 1154
Psicologia -> 2175
7 -> 1091
